timestamp,exchange_timestamp,symbol,episode_id,setup_type,context_status,armed,armed_at,trigger_level,invalidation_price,bar_timestamp,volume_regime,v1_score,v1_signal_pass,v1_decision,v1_entry,v1_stop,v1_target,v1_gross_rr,v1_net_rr,bid,ask,mid,spread_pct,quote_age_seconds,distance_from_trigger_pct,return_5s,return_10s,return_15s,return_30s,acceleration_5s,realized_volatility_30s,selected_trigger,fast_trigger,one_minute_pass,v2_decision,future_15s_bid,forward_return_15s,future_30s_bid,forward_return_30s,future_60s_bid,forward_return_60s,future_120s_bid,forward_return_120s,future_180s_bid,forward_return_180s,mfe_180s,mae_180s,time_to_mfe_seconds,time_to_mae_seconds
2026-09-24T19:35:08.120337+00:00,2026-09-24T19:35:06.356163+00:00,AAPL,SCALP-AAPL-71bf0b0ab61825087f5167e6,MICRO_PULLBACK,CONTEXT_ACCEPT,True,2026-09-24T19:35:08.120337+00:00,337.375,337.1301,2026-09-24T19:35:00+00:00,PASS,0.184114,False,BLOCKED,337.38,337.1301,337.88607,2.025090036014663,1.3100434245578731,337.37,337.38,337.375,2.9640607632429508e-05,1.764174,0.0,4.4462888309171333e-05,0.00019270107616131682,0.00017787527978296858,0.0002223539875481073,-0.00010376870873818334,0.00013504664372084488,PULLBACK_RECLAIM,False,False,V2_ARMED_WAITING,337.28,-0.0007961285510030836,337.28,-0.0007961285510030836,337.36,-0.0005591257351943435,337.4,-0.0004406243272900845,337.29,-0.0007665031990268245,-0.00023324686345749246,-0.0009442553108832685,90.189875,18.203305
2026-09-24T19:35:08.120337+00:00,2026-09-24T19:35:06.250139+00:00,META,SCALP-META-a559b102760ea62a486149c4,MICRO_PULLBACK,CONTEXT_ACCEPT,True,2026-09-24T19:35:08.120337+00:00,777.2650000000001,775.75,2026-09-24T19:35:00+00:00,PASS,0.616041,False,BLOCKED,777.21,775.75,778.5122284373873,0.891937285881708,0.5846720009051161,777.15,777.21,777.1800000000001,7.720219254234426e-05,1.870198,-0.000109357812329125,-0.00010292566194058939,3.8602586373226444e-05,0.00013512209246213658,0.00031534169525127,-0.0002444684786425677,0.0002537098098355181,PULLBACK_RECLAIM,False,True,V2_ARMED_WAITING,776.4,-0.0015415434364669522,776.23,-0.0017601652005264645,776.35,-0.0016058439553080506,775.74,-0.002390310285168673,775.76,-0.0023645900776322337,-0.0005770356538514765,-0.0029818750585061116,0.0,169.790875
2026-09-24T19:35:10.061872+00:00,2026-09-24T19:35:09.043953+00:00,AAPL,SCALP-AAPL-71bf0b0ab61825087f5167e6,MICRO_PULLBACK,CONTEXT_ACCEPT,True,2026-09-24T19:35:08.120337+00:00,337.375,337.1301,2026-09-24T19:35:00+00:00,PASS,0.173492,False,BLOCKED,337.38,337.1301,337.88607,2.025090036014663,1.2300066671996248,337.35,337.38,337.365,8.892445867227695e-05,1.017919,-2.9640607632441807e-05,-1.4820523460912227e-05,1.4820962769723778e-05,0.0001630547567519347,0.0003113325031134373,-4.446244900035978e-05,0.00013746406942279608,PULLBACK_RECLAIM,False,False,V2_ARMED_WAITING,337.23,-0.0009442553108832685,337.27,-0.0008257539029791205,337.44,-0.0003221229193858255,337.36,-0.0005591257351943435,337.31,-0.0007072524950747505,-0.00023324686345749246,-0.0009442553108832685,87.502085,15.515515
2026-09-24T19:35:10.061872+00:00,2026-09-24T19:35:08.879642+00:00,META,SCALP-META-a559b102760ea62a486149c4,MICRO_PULLBACK,CONTEXT_ACCEPT,True,2026-09-24T19:35:08.120337+00:00,777.2650000000001,775.75,2026-09-24T19:35:00+00:00,PASS,0.60912,False,BLOCKED,777.21,775.75,778.4972027246481,0.8816457018137603,0.55383048862979,777.12,777.21,777.165,0.00011580552392353212,1.18223,-0.0001286562497991861,-3.2167166330143715e-05,-0.0001286562497991861,9.651391730680636e-05,-3.860035126312944e-05,6.43250210191626e-05,0.00022315895468849535,PULLBACK_RECLAIM,False,True,V2_ARMED_WAITING,776.47,-0.0014515227100894146,776.23,-0.0017601652005264645,776.3,-0.001670144474149149,775.74,-0.002390310285168673,775.72,-0.0024160304927050014,-0.0006156159651560245,-0.0029818750585061116,0.0,167.161372
2026-09-24T19:35:11.930668+00:00,2026-09-24T19:35:11.568860+00:00,AAPL,SCALP-AAPL-71bf0b0ab61825087f5167e6,MICRO_PULLBACK,CONTEXT_ACCEPT,True,2026-09-24T19:35:08.120337+00:00,337.375,337.1301,2026-09-24T19:35:00+00:00,PASS,0.153894,False,BLOCKED,337.32,337.1301,337.82598,2.664454976303795,1.5656536504695397,337.28,337.32,337.29999999999995,0.00011858879335908826,0.361808,-0.0002223045572435911,-0.0002223045572435911,-0.0001778515532370184,-2.964631940960416e-05,0.000133430193770101,-0.00026676744555276244,0.00023481647620895895,PULLBACK_RECLAIM,False,False,V2_ARMED_WAITING,337.24,-0.0007369200033681134,337.29,-0.0005887668957893499,337.45,-0.00011467695153766222,337.34,-0.00044061378821091957,337.3,-0.0005591362742736194,-5.541570850609023e-05,-0.0007665506248837328,84.977178,12.990608
2026-09-24T19:35:11.930668+00:00,2026-09-24T19:35:10.955978+00:00,AMD,SCALP-AMD-15e80cc8685e1d330437e38f,EMA9_CONTINUATION,CONTEXT_ACCEPT,True,2026-09-24T19:35:11.930668+00:00,627.96,625.578517991133,2026-09-24T19:35:00+00:00,PASS,0.50673,False,BLOCKED,628.02,626.2047227138469,628.8,0.4296864208844749,0.19059266423960147,627.9,628.02,627.96,0.00019109497420218572,0.97469,0.0,-0.00023085312169135452,-0.0006206731916924557,-0.0005093270516329795,-0.0003979560974832763,0.00015905696026929927,0.0004919522755032326,EMA9_TURN_UP,False,True,V2_ARMED_WAITING,627.92,-0.0006590260335939124,627.91,-0.0006749411338291544,627.87,-0.0007386015347695674,627.73,-0.0009614129380619563,627.85,-0.0007704317352399404,-0.00019748812677400363,-0.001295630043000373,8.090681,168.062591
2026-09-24T19:35:11.930668+00:00,2026-09-24T19:35:10.953112+00:00,META,SCALP-META-a559b102760ea62a486149c4,MICRO_PULLBACK,CONTEXT_ACCEPT,True,2026-09-24T19:35:08.120337+00:00,777.2650000000001,775.75,2026-09-24T19:35:00+00:00,PASS,0.507955,False,BLOCKED,776.85,775.75,778.0152750000001,1.0593409090908872,0.5152923748228624,776.64,776.85,776.745,0.00027035899812684523,0.977556,-0.0006690124989547908,-0.0005725755606738048,-0.0006625839487429674,-0.0005211349160394452,-0.00040537410238583593,-0.0004825156064758307,0.0005732462659656424,PULLBACK_RECLAIM,False,True,V2_ARMED_WAITING,776.53,-0.0009115890558158979,776.36,-0.0011303121313704922,776.36,-0.0011303121313704922,775.71,-0.00196660624378564,775.28,-0.0025198469643065158,-0.0007700623598687617,-0.0025198469643065158,0.0,165.087902
2026-09-24T19:35:13.871573+00:00,2026-09-24T19:35:12.792005+00:00,AAPL,SCALP-AAPL-71bf0b0ab61825087f5167e6,MICRO_PULLBACK,CONTEXT_ACCEPT,True,2026-09-24T19:35:08.120337+00:00,337.375,337.1301,2026-09-24T19:35:00+00:00,PASS,0.153894,False,BLOCKED,337.32,337.1301,337.82598,2.664454976303795,1.5656536504695397,337.28,337.32,337.29999999999995,0.00011858879335908826,1.079568,-0.0002223045572435911,-0.0002223045572435911,-0.0001778515532370184,-5.9290881062601386e-05,0.000133430193770101,-0.00026676744555276244,0.00023481647620895895,PULLBACK_RECLAIM,False,False,V2_ARMED_WAITING,337.24,-0.0007369200033681134,337.29,-0.0005887668957893499,337.45,-0.00011467695153766222,337.34,-0.00044061378821091957,337.3,-0.0005591362742736194,-5.541570850609023e-05,-0.0007665506248837328,83.754033,11.767463
2026-09-24T19:35:13.871573+00:00,2026-09-24T19:35:13.008537+00:00,AMD,SCALP-AMD-15e80cc8685e1d330437e38f,EMA9_CONTINUATION,CONTEXT_ACCEPT,True,2026-09-24T19:35:11.930668+00:00,627.96,625.578517991133,2026-09-24T19:35:00+00:00,PASS,0.490068,False,BLOCKED,628.21,626.2047227138469,628.8,0.2942236488060906,0.03284328549437771,628.0,628.21,628.105,0.00033433900382903557,0.863036,0.00023090642716083742,-3.980067820352762e-05,-0.0004535399990451827,-0.0002785382313617024,-0.00012735101920602343,0.00037395511039906015,0.0005434471634639301,EMA9_TURN_UP,False,True,V2_ARMED_WAITING,627.93,-0.0009453630607091368,627.75,-0.0012317482225090437,628.03,-0.0007862601930423985,627.69,-0.0013272099431088646,627.85,-0.0010726453548423054,-0.0004998750312422695,-0.0015976848181423753,6.038122,166.010032
2026-09-24T19:35:13.871573+00:00,2026-09-24T19:35:13.208890+00:00,META,SCALP-META-a559b102760ea62a486149c4,MICRO_PULLBACK,CONTEXT_ACCEPT,True,2026-09-24T19:35:08.120337+00:00,777.2650000000001,775.75,2026-09-24T19:35:00+00:00,PASS,0.471581,False,BLOCKED,776.57,775.75,777.734855,1.420554878048694,0.800683814321122,776.45,776.57,776.51,0.00015453761059098343,0.662683,-0.0009713546859824174,-0.0008620911500554218,-0.000874946924175668,-0.0009392208326900464,-0.0006049061751911555,-0.0008492242835234087,0.0006481536089873444,PULLBACK_RECLAIM,False,True,V2_ARMED_WAITING,776.47,-0.0006285820537861309,776.11,-0.0010919273349440095,776.36,-0.0007701597785844116,775.65,-0.0016839796386458605,775.31,-0.0021215835152949003,-0.0005384871380055278,-0.0021601956220580476,7.152608,162.832124
